"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"1983-01-02T08:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",61.17,"bereinigt"
"1983-01-02T08:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",96.9,"bereinigt"
"1983-01-02T08:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",109.67,"bereinigt"
"1983-01-02T08:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",165.5,"bereinigt"
"1983-01-02T09:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.68,"bereinigt"
"1983-01-02T09:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",57.06,"bereinigt"
"1983-01-02T09:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",106.69,"bereinigt"
"1983-01-02T09:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",115.38,"bereinigt"
"1983-01-02T09:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",100.23,"bereinigt"
"1983-01-02T10:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.13,"bereinigt"
"1983-01-02T10:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",57.58,"bereinigt"
"1983-01-02T10:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",130.4,"bereinigt"
"1983-01-02T10:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",134.66,"bereinigt"
"1983-01-02T10:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",118.73,"bereinigt"
"1983-01-02T11:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.03,"bereinigt"
"1983-01-02T11:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",59.63,"bereinigt"
"1983-01-02T11:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",237.09,"bereinigt"
"1983-01-02T11:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",221.27,"bereinigt"
"1983-01-02T11:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",202.52,"bereinigt"
"1983-01-02T12:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",4.55,"bereinigt"
"1983-01-02T12:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",61.17,"bereinigt"
"1983-01-02T12:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",253.06,"bereinigt"
"1983-01-02T12:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",234.88,"bereinigt"
"1983-01-02T12:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",216.39,"bereinigt"
"1983-01-02T13:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",2.66,"bereinigt"
"1983-01-02T13:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",60.66,"bereinigt"
"1983-01-02T13:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",62.88,"bereinigt"
"1983-01-02T13:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",82.14,"bereinigt"
"1983-01-02T13:00+0100","Zch_Stampfenbachstrasse","SO2","h1","µg/m3",NA,"bereinigt"
"1983-01-02T14:00+0100","Zch_Stampfenbachstrasse","CO","h1","mg/m3",3.21,"bereinigt"
"1983-01-02T14:00+0100","Zch_Stampfenbachstrasse","NO2","h1","µg/m3",57.06,"bereinigt"
"1983-01-02T14:00+0100","Zch_Stampfenbachstrasse","NO","h1","µg/m3",165.45,"bereinigt"
"1983-01-02T14:00+0100","Zch_Stampfenbachstrasse","NOx","h1","ppb",162.48,"bereinigt"
